Order Priority,Unit Price,Shipping Cost,Customer ID,Customer Name,Ship Mode,Customer Segment,Product Category,Product Sub-Category,Product Container,Product Name,Region,State or Province,City,Order Date,Ship Date,Quantity ,Order ID
Critical,9.48,7.29,11,Marcus Dunlap,Regular Air,Home Office,Furniture,Office Furnishings,Small Pack,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",East,New Jersey,Roselle,15/08/2010,17/08/2010,22,90192
High,10.98,3.37,12,Kara Pace,Regular Air,Home Office,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,Fiskars® Softgrip Scissors,East,Rhode Island,Cranston,24/02/2012,26/02/2012,8,90196
Medium,78.69,19.99,14,Gwendolyn F Tyson,Regular Air,Small Business,Furniture,Office Furnishings,Small Box,Howard Miller 12-3/4 Diameter Accuwave DS ™ Wall Clock,Central,Minnesota,Prior Lake,12/05/2010,14/05/2010,16,86838
Medium,3.28,2.31,14,Gwendolyn F Tyson,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 321,Central,Minnesota,Prior Lake,12/05/2010,13/05/2010,7,86838
Medium,3.28,4.2,14,Gwendolyn F Tyson,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 351,Central,Minnesota,Prior Lake,12/05/2010,13/05/2010,4,86838
Medium,3.58,1.63,14,Gwendolyn F Tyson,Regular Air,Small Business,Office Supplies,Rubber Bands,Wrap Bag,"OIC Colored Binder Clips, Assorted Sizes",Central,Minnesota,Prior Lake,12/05/2010,13/05/2010,4,86838
Medium,6.48,7.86,14,Gwendolyn F Tyson,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 213,Central,Minnesota,Prior Lake,12/05/2013,13/05/2013,4,86845
Critical,4.42,4.99,15,Timothy Reese,Regular Air,Small Business,Office Supplies,Envelopes,Small Box,Grip Seal Envelopes,East,New York,Smithtown,08/04/2010,09/04/2010,7,86837
Medium,35.94,6.66,15,Timothy Reese,Regular Air,Small Business,Office Supplies,Envelopes,Small Box,"Tyvek ® Top-Opening Peel & Seel ® Envelopes, Gray",East,New York,Smithtown,28/05/2010,28/05/2010,10,86839
Medium,1.76,0.7,15,Timothy Reese,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 310,East,New York,Smithtown,04/12/2011,06/12/2011,10,86840
Medium,5.98,5.2,15,Timothy Reese,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 1992,East,New York,Smithtown,29/04/2012,01/05/2012,3,86841
Low,7.59,4,15,Timothy Reese,Regular Air,Small Business,Furniture,Office Furnishings,Wrap Bag,"Master Giant Foot® Doorstop, Safety Yellow",East,New York,Smithtown,19/01/2013,21/01/2013,4,86842
Low,4.13,6.89,15,Timothy Reese,Regular Air,Small Business,Office Supplies,Labels,Small Box,"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",East,New York,Smithtown,21/01/2013,23/01/2013,9,86843
High,2.98,1.58,16,Sarah Ramsey,Regular Air,Small Business,Office Supplies,Rubber Bands,Wrap Bag,Staples Gold Paper Clips,East,New York,Syracuse,12/02/2010,15/02/2010,6,86836
High,115.99,2.5,16,Sarah Ramsey,Regular Air,Small Business,Technology,Telephones and Communication,Small Box,StarTAC 7797,East,New York,Syracuse,12/02/2010,14/02/2010,10,86836
High,14.27,7.27,16,Sarah Ramsey,Express Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,"GBC Laser Imprintable Binding System Covers, Desert Sand",East,New York,Syracuse,12/02/2013,15/02/2013,3,86844
Low,5.85,2.27,17,Florence Hsu Schwarz,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,"Dixon My First Ticonderoga Pencil, #2",West,Montana,Great Falls,20/04/2011,24/04/2011,2,90033
Critical,7.77,9.23,17,Florence Hsu Schwarz,Express Air,Small Business,Office Supplies,Appliances,Small Box,Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,West,Montana,Great Falls,06/04/2012,08/04/2012,4,90034
High,26.48,6.93,18,Laurie Hanna,Regular Air,Small Business,Furniture,Office Furnishings,Small Box,DAX Natural Wood-Tone Poster Frame,West,Montana,Helena,15/05/2010,16/05/2010,17,90031
Critical,42.98,4.62,18,Laurie Hanna,Express Air,Small Business,Office Supplies,Appliances,Small Box,Belkin F9M820V08 8 Outlet Surge,West,Montana,Helena,15/05/2012,16/05/2012,15,90035
Critical,8.04,8.94,18,Laurie Hanna,Express Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,"Fellowes Twister Kit, Gray/Clear, 3/pkg",West,Montana,Helena,15/05/2012,15/05/2012,9,90035
Not Specified,5,3.39,18,Laurie Hanna,Regular Air,Small Business,Office Supplies,Rubber Bands,Wrap Bag,Advantus Plastic Paper Clips,West,Montana,Helena,21/05/2013,22/05/2013,13,90038
Low,110.98,30,18,Laurie Hanna,Delivery Truck,Small Business,Furniture,Chairs & Chairmats,Jumbo Drum,Office Star Flex Back Scooter Chair with White Frame,West,Montana,Helena,02/10/2013,04/10/2013,22,90039
Low,12.53,0.5,18,Laurie Hanna,Regular Air,Small Business,Office Supplies,Labels,Small Box,Avery 485,West,Montana,Helena,02/10/2013,04/10/2013,17,90039
Not Specified,12.99,9.44,19,Jim Rodgers,Regular Air,Small Business,Technology,Office Machines,Medium Box,Hewlett Packard 6S Scientific Calculator,West,Montana,Missoula,21/05/2010,23/05/2010,18,90032
Not Specified,64.65,35,20,Marion Nolan Kaplan,Express Air,Small Business,Office Supplies,Storage & Organization,Large Box,Space Solutions Commercial Steel Shelving,Central,Nebraska,Bellevue,31/05/2012,02/06/2012,13,90036
Not Specified,15.23,27.75,20,Marion Nolan Kaplan,Delivery Truck,Small Business,Furniture,Tables,Jumbo Box,Anderson Hickey Conga Table Tops & Accessories,Central,Nebraska,Bellevue,31/05/2012,01/06/2012,1,90036
Medium,30.98,17.08,20,Marion Nolan Kaplan,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 197,Central,Nebraska,Bellevue,07/03/2013,08/03/2013,1,90037
High,26.48,6.93,21,Tony Wilkins Winters,Regular Air,Small Business,Furniture,Office Furnishings,Small Box,DAX Natural Wood-Tone Poster Frame,East,New York,New York City,15/05/2010,16/05/2010,70,41793
Not Specified,5,3.39,21,Tony Wilkins Winters,Regular Air,Small Business,Office Supplies,Rubber Bands,Wrap Bag,Advantus Plastic Paper Clips,East,New York,New York City,21/05/2010,22/05/2010,58,42949
Not Specified,12.99,9.44,21,Tony Wilkins Winters,Regular Air,Small Business,Technology,Office Machines,Medium Box,Hewlett Packard 6S Scientific Calculator,East,New York,New York City,21/05/2010,23/05/2010,71,42949
Medium,30.98,17.08,21,Tony Wilkins Winters,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 197,East,New York,New York City,07/03/2011,08/03/2011,1,55269
Low,5.85,2.27,21,Tony Wilkins Winters,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,"Dixon My First Ticonderoga Pencil, #2",East,New York,New York City,20/04/2011,24/04/2011,9,9895
Critical,7.77,9.23,21,Tony Wilkins Winters,Express Air,Small Business,Office Supplies,Appliances,Small Box,Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,East,New York,New York City,06/04/2012,08/04/2012,18,17860
Critical,42.98,4.62,21,Tony Wilkins Winters,Express Air,Small Business,Office Supplies,Appliances,Small Box,Belkin F9M820V08 8 Outlet Surge,East,New York,New York City,15/05/2012,16/05/2012,60,26887
Critical,8.04,8.94,21,Tony Wilkins Winters,Express Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,"Fellowes Twister Kit, Gray/Clear, 3/pkg",East,New York,New York City,15/05/2012,15/05/2012,36,26887
Not Specified,64.65,35,21,Tony Wilkins Winters,Express Air,Small Business,Office Supplies,Storage & Organization,Large Box,Space Solutions Commercial Steel Shelving,East,New York,New York City,31/05/2012,02/06/2012,50,50533
Not Specified,15.23,27.75,21,Tony Wilkins Winters,Delivery Truck,Small Business,Furniture,Tables,Jumbo Box,Anderson Hickey Conga Table Tops & Accessories,East,New York,New York City,31/05/2012,01/06/2012,5,50533
Low,110.98,30,21,Tony Wilkins Winters,Delivery Truck,Small Business,Furniture,Chairs & Chairmats,Jumbo Drum,Office Star Flex Back Scooter Chair with White Frame,East,New York,New York City,02/10/2013,04/10/2013,88,18596
Low,12.53,0.5,21,Tony Wilkins Winters,Regular Air,Small Business,Office Supplies,Labels,Small Box,Avery 485,East,New York,New York City,02/10/2013,04/10/2013,67,18596
High,14.34,5,23,Lynn Moss,Regular Air,Corporate,Furniture,Office Furnishings,Small Pack,Nu-Dell Leatherette Frames,West,California,Laguna Hills,11/11/2011,12/11/2011,36,87655
High,30.98,8.74,23,Lynn Moss,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1979,West,California,Laguna Hills,11/11/2011,12/11/2011,37,87655
Not Specified,22.84,5.47,23,Lynn Moss,Express Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1929,West,California,Laguna Hills,10/09/2012,13/09/2012,7,87660
Low,146.05,80.2,23,Lynn Moss,Delivery Truck,Corporate,Furniture,Tables,Jumbo Box,BPI Conference Tables,West,California,Laguna Hills,18/11/2013,25/11/2013,11,87669
High,55.48,14.3,24,Edna Thomas,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 194,West,California,Laguna Niguel,28/01/2010,29/01/2010,1,87651
High,1.68,1.57,24,Edna Thomas,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 323,West,California,Laguna Niguel,28/01/2010,30/01/2010,1,87651
Not Specified,205.99,2.5,24,Edna Thomas,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,V70,West,California,Laguna Niguel,02/03/2012,04/03/2012,13,87656
High,21.38,8.99,24,Edna Thomas,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Small Pack,Boston 1730 StandUp Electric Pencil Sharpener,West,California,Laguna Niguel,19/12/2012,20/12/2012,5,87662
Critical,11.7,6.96,24,Edna Thomas,Regular Air,Corporate,Office Supplies,Appliances,Medium Box,Harmony HEPA Quiet Air Purifiers,West,California,Laguna Niguel,13/01/2013,14/01/2013,8,87663
High,5.98,3.85,25,Virginia Hardison,Regular Air,Corporate,Technology,Computer Peripherals,Small Pack,"Imation 3.5"" IBM-Formatted Diskettes, 10/Pack",West,California,Lake Elsinore,18/04/2012,20/04/2012,1,87657
High,5.98,5.2,25,Virginia Hardison,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1992,West,California,Lake Elsinore,18/04/2012,20/04/2012,1,87657
Critical,25.98,5.37,25,Virginia Hardison,Regular Air,Corporate,Office Supplies,Appliances,Medium Box,3M Office Air Cleaner,West,California,Lake Elsinore,02/07/2013,04/07/2013,7,87666
Critical,155.06,7.07,25,Virginia Hardison,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,"Dual Level, Single-Width Filing Carts",West,California,Lake Elsinore,02/07/2013,04/07/2013,12,87666
Medium,59.98,3.99,26,Marguerite Kane,Regular Air,Corporate,Office Supplies,Appliances,Small Box,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,West,California,Lake Forest,27/06/2012,29/06/2012,11,87658
Not Specified,2.89,0.5,26,Marguerite Kane,Express Air,Corporate,Office Supplies,Labels,Small Box,Avery 498,West,California,Lake Forest,02/09/2013,03/09/2013,7,87667
High,3.69,0.5,26,Marguerite Kane,Regular Air,Corporate,Office Supplies,Labels,Small Box,Avery 52,West,California,Lake Forest,11/12/2013,12/12/2013,15,87670
High,65.99,8.99,26,Marguerite Kane,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,V 3600 Series,West,California,Lake Forest,11/12/2013,12/12/2013,3,87670
Not Specified,4.14,6.6,27,Guy Gallagher,Regular Air,Corporate,Furniture,Office Furnishings,Small Box,Eldon Image Series Black Desk Accessories,West,California,Lakewood,02/11/2010,04/11/2010,12,87652
Low,35.44,19.99,27,Guy Gallagher,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1880,West,California,Lakewood,12/07/2012,14/07/2012,4,87659
Low,55.48,14.3,27,Guy Gallagher,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 194,West,California,Lakewood,12/07/2012,17/07/2012,9,87659
Critical,8.09,7.96,27,Guy Gallagher,Express Air,Corporate,Furniture,Office Furnishings,Small Box,"6"" Cubicle Wall Clock, Black",West,California,Lakewood,26/10/2012,26/10/2012,23,87661
Critical,14.2,5.3,27,Guy Gallagher,Regular Air,Corporate,Furniture,Office Furnishings,Wrap Bag,Coloredge Poster Frame,West,California,Lakewood,26/10/2012,28/10/2012,11,87661
Not Specified,65.99,8.99,27,Guy Gallagher,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,SC-3160,West,California,Lakewood,02/11/2013,04/11/2013,29,87668
High,2.88,0.7,28,Ronnie McNamara,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 346,West,California,Lancaster,22/01/2011,23/01/2011,1,87653
Critical,225.04,11.79,28,Ronnie McNamara,Regular Air,Corporate,Office Supplies,Appliances,Medium Box,Holmes Harmony HEPA Air Purifier for 17 x 20 Room,West,California,Lancaster,14/04/2013,16/04/2013,1,87665
Not Specified,65.99,3.9,29,Elizabeth Walker,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,StarTAC Series,West,California,Lawndale,30/01/2011,01/02/2011,3,87654
Not Specified,3.08,0.99,29,Elizabeth Walker,Regular Air,Corporate,Office Supplies,Labels,Small Box,Avery 481,West,California,Lawndale,30/01/2013,31/01/2013,1,87664
High,6.48,6.65,31,Alice Capps,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1966,West,Oregon,Eugene,11/08/2012,13/08/2012,15,89206
High,34.99,7.73,32,Matthew Berman,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Small Box,Hunt Boston® Vacuum Mount KS Pencil Sharpener,West,Oregon,Grants Pass,22/02/2010,23/02/2010,13,89199
High,17.98,8.51,32,Matthew Berman,Regular Air,Corporate,Technology,Office Machines,Medium Box,Canon P1-DHIII Palm Printing Calculator,West,Oregon,Grants Pass,27/03/2010,28/03/2010,2,89200
Medium,125.99,7.69,32,Matthew Berman,Express Air,Corporate,Technology,Telephones and Communication,Small Box,StarTAC 3000,West,Oregon,Grants Pass,20/07/2010,22/07/2010,8,89202
Low,205.99,8.99,32,Matthew Berman,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,TimeportP7382,West,Oregon,Grants Pass,12/09/2010,19/09/2010,22,89203
Critical,8.95,2.01,32,Matthew Berman,Regular Air,Corporate,Office Supplies,Paper,Wrap Bag,"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""",West,Oregon,Grants Pass,06/10/2011,08/10/2011,15,89204
High,449.99,49,32,Matthew Berman,Delivery Truck,Corporate,Technology,Copiers and Fax,Jumbo Drum,Canon PC940 Copier,West,Oregon,Grants Pass,12/06/2013,14/06/2013,5,89207
Not Specified,4.24,5.41,33,Ricky Hensley,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Storex DuraTech Recycled Plastic Frosted Binders,West,Oregon,Gresham,15/06/2010,17/06/2010,13,89201
Not Specified,2.94,0.7,33,Ricky Hensley,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 338,West,Oregon,Gresham,15/06/2010,16/06/2010,18,89201
Medium,4.82,5.24,33,Ricky Hensley,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Wilson Jones Turn Tabs Binder Tool for Ring Binders,West,Oregon,Gresham,26/01/2012,27/01/2012,5,89205
Critical,70.98,30,33,Ricky Hensley,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,Novimex High-Tech Fabric Mesh Task Chair,West,Oregon,Gresham,16/08/2013,18/08/2013,9,89208
Critical,4.98,4.7,33,Ricky Hensley,Regular Air,Corporate,Office Supplies,Paper,Small Box,Staples Copy Paper (20Lb. and 84 Bright),West,Oregon,Gresham,16/08/2013,18/08/2013,9,89208
Not Specified,6783.02,24.49,35,Milton Bland,Regular Air,Small Business,Technology,Office Machines,Large Box,Polycom ViewStation™ ISDN Videoconferencing Unit,West,Oregon,Gresham,27/11/2012,28/11/2012,3,91256
Low,65.99,3.99,35,Milton Bland,Regular Air,Small Business,Technology,Telephones and Communication,Small Box,StarTAC 7760,West,Oregon,Gresham,28/05/2013,02/06/2013,7,91257
Not Specified,9.27,4.39,36,Ray Morgan,Express Air,Small Business,Office Supplies,Paper,Wrap Bag,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",West,Oregon,Hillsboro,27/11/2012,29/11/2012,29,91256
Not Specified,6.68,6.15,36,Ray Morgan,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 1968,West,Oregon,Hillsboro,27/11/2012,29/11/2012,10,91256
Not Specified,5.78,5.67,37,Stacy Chandler,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 1978,West,Oregon,Keizer,27/11/2012,30/11/2012,11,91256
Medium,1.68,1.57,39,Ian L O'Donnell,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 323,Central,Illinois,Alton,03/07/2011,04/07/2011,10,88682
Medium,7.08,2.35,39,Ian L O'Donnell,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,SANFORD Major Accent™ Highlighters,Central,Illinois,Alton,03/07/2011,05/07/2011,14,88682
Critical,28.15,8.99,39,Ian L O'Donnell,Express Air,Corporate,Office Supplies,Pens & Art Supplies,Small Pack,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Central,Illinois,Alton,12/06/2013,15/06/2013,4,88684
Not Specified,7.98,6.5,40,Seth Grimes,Regular Air,Corporate,Office Supplies,Storage & Organization,Medium Box,Iris Project Case,West,Washington,Anacortes,21/03/2013,23/03/2013,4,88683
Not Specified,45.99,4.99,42,Alexandra Fuller,Regular Air,Consumer,Technology,Telephones and Communication,Small Box,KF 788,West,Washington,Puyallup,05/11/2012,06/11/2012,8,91455
Not Specified,8.09,7.96,42,Alexandra Fuller,Regular Air,Consumer,Furniture,Office Furnishings,Small Box,"6"" Cubicle Wall Clock, Black",West,Washington,Puyallup,26/11/2013,29/11/2013,36,91458
Not Specified,20.99,1.25,42,Alexandra Fuller,Regular Air,Consumer,Technology,Telephones and Communication,Small Pack,Accessory29,West,Washington,Puyallup,26/11/2013,27/11/2013,9,91458
High,99.99,19.99,43,Theodore Moran,Regular Air,Consumer,Technology,Office Machines,Small Box,AT&T 2230 Dual Handset Phone With Caller ID/Call Waiting,West,Washington,Redmond,10/11/2010,11/11/2010,6,91454
Low,9.31,3.98,43,Theodore Moran,Regular Air,Consumer,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,Acme® Forged Steel Scissors with Black Enamel Handles,West,Washington,Redmond,26/02/2013,04/03/2013,9,91456
Critical,95.98,58.2,43,Theodore Moran,Delivery Truck,Consumer,Furniture,Chairs & Chairmats,Jumbo Drum,Global Deluxe Office Fabric Chairs,West,Washington,Redmond,30/08/2013,01/09/2013,15,91457
Medium,39.48,3.99,45,Melinda Sloan,Regular Air,Home Office,Office Supplies,Appliances,Small Box,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,Central,Texas,Coppell,24/02/2012,26/02/2012,13,91578
Not Specified,5.81,3.37,45,Melinda Sloan,Regular Air,Home Office,Office Supplies,Rubber Bands,Wrap Bag,"Advantus Push Pins, Aluminum Head",Central,Texas,Coppell,23/09/2012,23/09/2012,18,91579
Not Specified,30.97,4,46,Anne Nguyen,Regular Air,Home Office,Technology,Computer Peripherals,Small Box,Microsoft Multimedia Keyboard,South,Virginia,Colonial Heights,23/09/2012,25/09/2012,3,91579
Not Specified,17.67,8.99,46,Anne Nguyen,Regular Air,Home Office,Furniture,Office Furnishings,Small Pack,"Executive Impressions 12"" Wall Clock",South,Virginia,Colonial Heights,23/09/2012,25/09/2012,20,91579
Medium,17.98,8.51,48,Geoffrey Hewitt,Regular Air,Corporate,Technology,Office Machines,Medium Box,Canon P1-DHIII Palm Printing Calculator,Central,Illinois,Springfield,15/08/2011,15/08/2011,1,87712
Medium,4.13,0.5,48,Geoffrey Hewitt,Regular Air,Corporate,Office Supplies,Labels,Small Box,Avery 506,Central,Illinois,Springfield,13/08/2012,16/08/2012,22,87713
High,7.31,0.49,48,Geoffrey Hewitt,Regular Air,Corporate,Office Supplies,Labels,Small Box,Self-Adhesive Address Labels for Typewriters by Universal,Central,Illinois,Springfield,10/10/2012,11/10/2012,19,87714
High,20.99,2.5,48,Geoffrey Hewitt,Regular Air,Corporate,Technology,Telephones and Communication,Wrap Bag,Accessory37,Central,Illinois,Springfield,10/10/2012,11/10/2012,12,87714
High,39.24,1.99,48,Geoffrey Hewitt,Regular Air,Corporate,Technology,Computer Peripherals,Small Pack,Verbatim DVD-R 4.7GB authoring disc,Central,Illinois,Springfield,11/01/2013,12/01/2013,9,87715
High,67.84,0.99,49,Terri Lyons,Regular Air,Corporate,Office Supplies,Appliances,Small Box,Fellowes Command Center 5-outlet power strip,Central,Illinois,Streamwood,29/03/2011,29/03/2011,1,87710
High,7.64,1.39,49,Terri Lyons,Express Air,Corporate,Office Supplies,Envelopes,Small Box,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Central,Illinois,Streamwood,18/05/2011,19/05/2011,1,87711
Medium,12.95,4.98,49,Terri Lyons,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,GBC Binding covers,Central,Illinois,Streamwood,15/08/2011,17/08/2011,5,87712
Low,65.99,5.31,49,Terri Lyons,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,3390,Central,Illinois,Streamwood,17/02/2013,19/02/2013,10,87716
Medium,30.73,4,49,Terri Lyons,Regular Air,Corporate,Technology,Computer Peripherals,Small Box,Fellowes 17-key keypad for PS/2 interface,Central,Illinois,Streamwood,02/03/2013,03/03/2013,7,87717
Critical,200.97,15.59,49,Terri Lyons,Delivery Truck,Corporate,Technology,Office Machines,Jumbo Drum,Hewlett-Packard Deskjet 6122 Color Inkjet Printer,Central,Illinois,Streamwood,12/03/2013,14/03/2013,4,87718
Medium,2.6,2.4,49,Terri Lyons,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,12 Colored Short Pencils,Central,Illinois,Streamwood,06/10/2013,07/10/2013,6,87719
Medium,14.97,7.51,49,Terri Lyons,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,Pizazz® Global Quick File™,Central,Illinois,Streamwood,06/10/2013,08/10/2013,4,87719
High,276.2,24.49,50,Dawn Bailey,Regular Air,Corporate,Furniture,Chairs & Chairmats,Large Box,SAFCO Arco Folding Chair,Central,Illinois,Tinley Park,29/03/2011,01/04/2011,8,87710
Not Specified,115.99,2.5,52,Lorraine Kelly,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,6160,West,Washington,Puyallup,10/09/2010,10/09/2010,6,88426
Critical,40.97,1.99,52,Lorraine Kelly,Regular Air,Corporate,Technology,Computer Peripherals,Small Pack,"TDK 4.7GB DVD-R Spindle, 15/Pack",West,Washington,Puyallup,10/09/2011,11/09/2011,13,88427
Critical,7.7,3.68,52,Lorraine Kelly,Regular Air,Corporate,Furniture,Office Furnishings,Wrap Bag,Deflect-O® Glasstique™ Clear Desk Accessories,West,Washington,Puyallup,06/11/2012,07/11/2012,17,88428
Critical,3502.14,8.73,53,Sidney Russell Austin,Delivery Truck,Corporate,Technology,Office Machines,Jumbo Box,Okidata Pacemark 4410N Wide Format Dot Matrix Printer,West,Washington,Redmond,28/07/2010,30/07/2010,1,88425
Not Specified,5.98,5.79,53,Sidney Russell Austin,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1903,West,Washington,Redmond,10/09/2010,11/09/2010,17,88426
Low,3.08,0.99,53,Sidney Russell Austin,Regular Air,Corporate,Office Supplies,Labels,Small Box,Avery 481,West,Washington,Redmond,19/02/2013,21/02/2013,11,88429
