Order Priority,Unit Price,Shipping Cost,Customer ID,Customer Name,Ship Mode,Customer Segment,Product Category,Product Sub-Category,Product Container,Product Name,Region,State or Province,City,Order Date,Ship Date,Quantity,Order ID,SalesAmountWithoutShipping,SalesAmountWithShipping
Medium,6.48,7.86,14,Gwendolyn F Tyson,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 213,Central,Minnesota,Prior Lake,2013-12-05,2013-05-13,4,86845,25.92,33.78
Critical,4.42,4.99,15,Timothy Reese,Regular Air,Small Business,Office Supplies,Envelopes,Small Box,Grip Seal Envelopes,East,New York,Smithtown,2010-08-04,2010-09-04,7,86837,30.939999999999998,35.93
Medium,35.94,6.66,15,Timothy Reese,Regular Air,Small Business,Office Supplies,Envelopes,Small Box,"Tyvek ® Top-Opening Peel & Seel ® Envelopes, Gray",East,New York,Smithtown,2010-05-28,2010-05-28,10,86839,359.4,366.06
Medium,1.76,0.7000000000000001,15,Timothy Reese,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 310,East,New York,Smithtown,2011-04-12,2011-06-12,10,86840,17.6,18.3
Medium,5.98,5.2,15,Timothy Reese,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 1992,East,New York,Smithtown,2012-04-29,2012-01-05,3,86841,17.94,23.14
Low,7.59,4.0,15,Timothy Reese,Regular Air,Small Business,Furniture,Office Furnishings,Wrap Bag,"Master Giant Foot® Doorstop, Safety Yellow",East,New York,Smithtown,2013-01-19,2013-01-21,4,86842,30.36,34.36
Low,4.13,6.89,15,Timothy Reese,Regular Air,Small Business,Office Supplies,Labels,Small Box,"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",East,New York,Smithtown,2013-01-21,2013-01-23,9,86843,37.17,44.06
High,2.98,1.58,16,Sarah Ramsey,Regular Air,Small Business,Office Supplies,Rubber Bands,Wrap Bag,Staples Gold Paper Clips,East,New York,Syracuse,2010-12-02,2010-02-15,6,86836,17.88,19.46
High,115.99,2.5,16,Sarah Ramsey,Regular Air,Small Business,Technology,Telephones and Communication,Small Box,StarTAC 7797,East,New York,Syracuse,2010-12-02,2010-02-14,10,86836,1159.8999999999999,1162.3999999999999
High,14.27,7.27,16,Sarah Ramsey,Express Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,"GBC Laser Imprintable Binding System Covers, Desert Sand",East,New York,Syracuse,2013-12-02,2013-02-15,3,86844,42.81,50.08
Low,5.85,2.27,17,Florence Hsu Schwarz,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,"Dixon My First Ticonderoga Pencil, #2",West,Montana,Great Falls,2011-04-20,2011-04-24,2,90033,11.7,13.969999999999999
Critical,7.77,9.23,17,Florence Hsu Schwarz,Express Air,Small Business,Office Supplies,Appliances,Small Box,Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,West,Montana,Great Falls,2012-06-04,2012-08-04,4,90034,31.08,40.31
High,26.48,6.93,18,Laurie Hanna,Regular Air,Small Business,Furniture,Office Furnishings,Small Box,DAX Natural Wood-Tone Poster Frame,West,Montana,Helena,2010-05-15,2010-05-16,17,90031,450.16,457.09000000000003
Critical,42.98,4.62,18,Laurie Hanna,Express Air,Small Business,Office Supplies,Appliances,Small Box,Belkin F9M820V08 8 Outlet Surge,West,Montana,Helena,2012-05-15,2012-05-16,15,90035,644.6999999999999,649.3199999999999
Critical,8.04,8.94,18,Laurie Hanna,Express Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,"Fellowes Twister Kit, Gray/Clear, 3/pkg",West,Montana,Helena,2012-05-15,2012-05-15,9,90035,72.35999999999999,81.29999999999998
Not Specified,5.0,3.39,18,Laurie Hanna,Regular Air,Small Business,Office Supplies,Rubber Bands,Wrap Bag,Advantus Plastic Paper Clips,West,Montana,Helena,2013-05-21,2013-05-22,13,90038,65.0,68.39
Low,110.98,30.0,18,Laurie Hanna,Delivery Truck,Small Business,Furniture,Chairs & Chairmats,Jumbo Drum,Office Star Flex Back Scooter Chair with White Frame,West,Montana,Helena,2013-02-10,2013-04-10,22,90039,2441.56,2471.56
Low,12.53,0.5,18,Laurie Hanna,Regular Air,Small Business,Office Supplies,Labels,Small Box,Avery 485,West,Montana,Helena,2013-02-10,2013-04-10,17,90039,213.01,213.51
Not Specified,12.99,9.44,19,Jim Rodgers,Regular Air,Small Business,Technology,Office Machines,Medium Box,Hewlett Packard 6S Scientific Calculator,West,Montana,Missoula,2010-05-21,2010-05-23,18,90032,233.82,243.26
Not Specified,64.65,35.0,20,Marion Nolan Kaplan,Express Air,Small Business,Office Supplies,Storage & Organization,Large Box,Space Solutions Commercial Steel Shelving,Central,Nebraska,Bellevue,2012-05-31,2012-02-06,13,90036,840.45,875.45
Not Specified,15.23,27.75,20,Marion Nolan Kaplan,Delivery Truck,Small Business,Furniture,Tables,Jumbo Box,Anderson Hickey Conga Table Tops & Accessories,Central,Nebraska,Bellevue,2012-05-31,2012-01-06,1,90036,15.23,42.980000000000004
Medium,30.98,17.08,20,Marion Nolan Kaplan,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 197,Central,Nebraska,Bellevue,2013-07-03,2013-08-03,1,90037,30.98,48.06
High,26.48,6.93,21,Tony Wilkins Winters,Regular Air,Small Business,Furniture,Office Furnishings,Small Box,DAX Natural Wood-Tone Poster Frame,East,New York,New York City,2010-05-15,2010-05-16,70,41793,1853.6000000000001,1860.5300000000002
Not Specified,5.0,3.39,21,Tony Wilkins Winters,Regular Air,Small Business,Office Supplies,Rubber Bands,Wrap Bag,Advantus Plastic Paper Clips,East,New York,New York City,2010-05-21,2010-05-22,58,42949,290.0,293.39
Not Specified,12.99,9.44,21,Tony Wilkins Winters,Regular Air,Small Business,Technology,Office Machines,Medium Box,Hewlett Packard 6S Scientific Calculator,East,New York,New York City,2010-05-21,2010-05-23,71,42949,922.29,931.73
Medium,30.98,17.08,21,Tony Wilkins Winters,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 197,East,New York,New York City,2011-07-03,2011-08-03,1,55269,30.98,48.06
Low,5.85,2.27,21,Tony Wilkins Winters,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,"Dixon My First Ticonderoga Pencil, #2",East,New York,New York City,2011-04-20,2011-04-24,9,9895,52.65,54.92
Critical,7.77,9.23,21,Tony Wilkins Winters,Express Air,Small Business,Office Supplies,Appliances,Small Box,Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,East,New York,New York City,2012-06-04,2012-08-04,18,17860,139.85999999999999,149.08999999999997
Critical,42.98,4.62,21,Tony Wilkins Winters,Express Air,Small Business,Office Supplies,Appliances,Small Box,Belkin F9M820V08 8 Outlet Surge,East,New York,New York City,2012-05-15,2012-05-16,60,26887,2578.7999999999997,2583.4199999999996
Critical,8.04,8.94,21,Tony Wilkins Winters,Express Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,"Fellowes Twister Kit, Gray/Clear, 3/pkg",East,New York,New York City,2012-05-15,2012-05-15,36,26887,289.43999999999994,298.37999999999994
Not Specified,64.65,35.0,21,Tony Wilkins Winters,Express Air,Small Business,Office Supplies,Storage & Organization,Large Box,Space Solutions Commercial Steel Shelving,East,New York,New York City,2012-05-31,2012-02-06,50,50533,3232.5000000000005,3267.5000000000005
Not Specified,15.23,27.75,21,Tony Wilkins Winters,Delivery Truck,Small Business,Furniture,Tables,Jumbo Box,Anderson Hickey Conga Table Tops & Accessories,East,New York,New York City,2012-05-31,2012-01-06,5,50533,76.15,103.9
Low,110.98,30.0,21,Tony Wilkins Winters,Delivery Truck,Small Business,Furniture,Chairs & Chairmats,Jumbo Drum,Office Star Flex Back Scooter Chair with White Frame,East,New York,New York City,2013-02-10,2013-04-10,88,18596,9766.24,9796.24
Low,12.53,0.5,21,Tony Wilkins Winters,Regular Air,Small Business,Office Supplies,Labels,Small Box,Avery 485,East,New York,New York City,2013-02-10,2013-04-10,67,18596,839.51,840.01
High,14.34,5.0,23,Lynn Moss,Regular Air,Corporate,Furniture,Office Furnishings,Small Pack,Nu-Dell Leatherette Frames,West,California,Laguna Hills,2011-11-11,2011-12-11,36,87655,516.24,521.24
High,30.98,8.74,23,Lynn Moss,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1979,West,California,Laguna Hills,2011-11-11,2011-12-11,37,87655,1146.26,1155.0
Not Specified,22.84,5.47,23,Lynn Moss,Express Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1929,West,California,Laguna Hills,2012-10-09,2012-09-13,7,87660,159.88,165.35
Low,146.05,80.2,23,Lynn Moss,Delivery Truck,Corporate,Furniture,Tables,Jumbo Box,BPI Conference Tables,West,California,Laguna Hills,2013-11-18,2013-11-25,11,87669,1606.5500000000002,1686.7500000000002
High,55.48,14.3,24,Edna Thomas,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 194,West,California,Laguna Niguel,2010-01-28,2010-01-29,1,87651,55.48,69.78
High,1.6800000000000002,1.57,24,Edna Thomas,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 323,West,California,Laguna Niguel,2010-01-28,2010-01-30,1,87651,1.6800000000000002,3.25
Not Specified,205.99,2.5,24,Edna Thomas,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,V70,West,California,Laguna Niguel,2012-02-03,2012-04-03,13,87656,2677.87,2680.37
High,21.38,8.99,24,Edna Thomas,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Small Pack,Boston 1730 StandUp Electric Pencil Sharpener,West,California,Laguna Niguel,2012-12-19,2012-12-20,5,87662,106.89999999999999,115.88999999999999
Critical,11.7,6.96,24,Edna Thomas,Regular Air,Corporate,Office Supplies,Appliances,Medium Box,Harmony HEPA Quiet Air Purifiers,West,California,Laguna Niguel,2013-01-13,2013-01-14,8,87663,93.6,100.55999999999999
High,5.98,3.85,25,Virginia Hardison,Regular Air,Corporate,Technology,Computer Peripherals,Small Pack,"Imation 3.5"" IBM-Formatted Diskettes, 10/Pack",West,California,Lake Elsinore,2012-04-18,2012-04-20,1,87657,5.98,9.83
High,5.98,5.2,25,Virginia Hardison,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1992,West,California,Lake Elsinore,2012-04-18,2012-04-20,1,87657,5.98,11.18
Critical,25.98,5.37,25,Virginia Hardison,Regular Air,Corporate,Office Supplies,Appliances,Medium Box,3M Office Air Cleaner,West,California,Lake Elsinore,2013-02-07,2013-04-07,7,87666,181.86,187.23000000000002
Critical,155.06,7.07,25,Virginia Hardison,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,"Dual Level, Single-Width Filing Carts",West,California,Lake Elsinore,2013-02-07,2013-04-07,12,87666,1860.72,1867.79
Medium,59.98,3.99,26,Marguerite Kane,Regular Air,Corporate,Office Supplies,Appliances,Small Box,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,West,California,Lake Forest,2012-06-27,2012-06-29,11,87658,659.78,663.77
Not Specified,2.89,0.5,26,Marguerite Kane,Express Air,Corporate,Office Supplies,Labels,Small Box,Avery 498,West,California,Lake Forest,2013-02-09,2013-03-09,7,87667,20.23,20.73
High,3.69,0.5,26,Marguerite Kane,Regular Air,Corporate,Office Supplies,Labels,Small Box,Avery 52,West,California,Lake Forest,2013-11-12,2013-12-12,15,87670,55.35,55.85
High,65.99,8.99,26,Marguerite Kane,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,V 3600 Series,West,California,Lake Forest,2013-11-12,2013-12-12,3,87670,197.96999999999997,206.95999999999998
Not Specified,4.14,6.6,27,Guy Gallagher,Regular Air,Corporate,Furniture,Office Furnishings,Small Box,Eldon Image Series Black Desk Accessories,West,California,Lakewood,2010-02-11,2010-04-11,12,87652,49.67999999999999,56.279999999999994
Low,35.44,19.99,27,Guy Gallagher,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1880,West,California,Lakewood,2012-12-07,2012-07-14,4,87659,141.76,161.75
Low,55.48,14.3,27,Guy Gallagher,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 194,West,California,Lakewood,2012-12-07,2012-07-17,9,87659,499.32,513.62
Critical,8.09,7.96,27,Guy Gallagher,Express Air,Corporate,Furniture,Office Furnishings,Small Box,"6"" Cubicle Wall Clock, Black",West,California,Lakewood,2012-10-26,2012-10-26,23,87661,186.07,194.03
Critical,14.2,5.3,27,Guy Gallagher,Regular Air,Corporate,Furniture,Office Furnishings,Wrap Bag,Coloredge Poster Frame,West,California,Lakewood,2012-10-26,2012-10-28,11,87661,156.2,161.5
Not Specified,65.99,8.99,27,Guy Gallagher,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,SC-3160,West,California,Lakewood,2013-02-11,2013-04-11,29,87668,1913.7099999999998,1922.6999999999998
High,2.88,0.7000000000000001,28,Ronnie McNamara,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 346,West,California,Lancaster,2011-01-22,2011-01-23,1,87653,2.88,3.58
Critical,225.04,11.79,28,Ronnie McNamara,Regular Air,Corporate,Office Supplies,Appliances,Medium Box,Holmes Harmony HEPA Air Purifier for 17 x 20 Room,West,California,Lancaster,2013-04-14,2013-04-16,1,87665,225.04,236.82999999999998
Not Specified,65.99,3.9,29,Elizabeth Walker,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,StarTAC Series,West,California,Lawndale,2011-01-30,2011-01-02,3,87654,197.96999999999997,201.86999999999998
Not Specified,3.08,0.99,29,Elizabeth Walker,Regular Air,Corporate,Office Supplies,Labels,Small Box,Avery 481,West,California,Lawndale,2013-01-30,2013-01-31,1,87664,3.08,4.07
High,6.48,6.65,31,Alice Capps,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1966,West,Oregon,Eugene,2012-11-08,2012-08-13,15,89206,97.2,103.85000000000001
High,34.99,7.73,32,Matthew Berman,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Small Box,Hunt Boston® Vacuum Mount KS Pencil Sharpener,West,Oregon,Grants Pass,2010-02-22,2010-02-23,13,89199,454.87,462.6
High,17.98,8.51,32,Matthew Berman,Regular Air,Corporate,Technology,Office Machines,Medium Box,Canon P1-DHIII Palm Printing Calculator,West,Oregon,Grants Pass,2010-03-27,2010-03-28,2,89200,35.96,44.47
Medium,125.99,7.69,32,Matthew Berman,Express Air,Corporate,Technology,Telephones and Communication,Small Box,StarTAC 3000,West,Oregon,Grants Pass,2010-07-20,2010-07-22,8,89202,1007.92,1015.61
Low,205.99,8.99,32,Matthew Berman,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,TimeportP7382,West,Oregon,Grants Pass,2010-12-09,2010-09-19,22,89203,4531.780000000001,4540.77
Critical,8.95,2.01,32,Matthew Berman,Regular Air,Corporate,Office Supplies,Paper,Wrap Bag,"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""",West,Oregon,Grants Pass,2011-06-10,2011-08-10,15,89204,134.25,136.26
High,449.99,49.0,32,Matthew Berman,Delivery Truck,Corporate,Technology,Copiers and Fax,Jumbo Drum,Canon PC940 Copier,West,Oregon,Grants Pass,2013-12-06,2013-06-14,5,89207,2249.95,2298.95
Not Specified,4.24,5.41,33,Ricky Hensley,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Storex DuraTech Recycled Plastic Frosted Binders,West,Oregon,Gresham,2010-06-15,2010-06-17,13,89201,55.120000000000005,60.53
Not Specified,2.94,0.7000000000000001,33,Ricky Hensley,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 338,West,Oregon,Gresham,2010-06-15,2010-06-16,18,89201,52.92,53.620000000000005
Medium,4.82,5.24,33,Ricky Hensley,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Wilson Jones Turn Tabs Binder Tool for Ring Binders,West,Oregon,Gresham,2012-01-26,2012-01-27,5,89205,24.1,29.340000000000003
Critical,70.98,30.0,33,Ricky Hensley,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,Novimex High-Tech Fabric Mesh Task Chair,West,Oregon,Gresham,2013-08-16,2013-08-18,9,89208,638.82,668.82
Critical,4.98,4.7,33,Ricky Hensley,Regular Air,Corporate,Office Supplies,Paper,Small Box,Staples Copy Paper (20Lb. and 84 Bright),West,Oregon,Gresham,2013-08-16,2013-08-18,9,89208,44.82000000000001,49.52000000000001
Not Specified,6783.02,24.49,35,Milton Bland,Regular Air,Small Business,Technology,Office Machines,Large Box,Polycom ViewStation™ ISDN Videoconferencing Unit,West,Oregon,Gresham,2012-11-27,2012-11-28,3,91256,20349.06,20373.550000000003
Low,65.99,3.99,35,Milton Bland,Regular Air,Small Business,Technology,Telephones and Communication,Small Box,StarTAC 7760,West,Oregon,Gresham,2013-05-28,2013-02-06,7,91257,461.92999999999995,465.91999999999996
Not Specified,9.27,4.39,36,Ray Morgan,Express Air,Small Business,Office Supplies,Paper,Wrap Bag,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",West,Oregon,Hillsboro,2012-11-27,2012-11-29,29,91256,268.83,273.21999999999997
Not Specified,6.68,6.15,36,Ray Morgan,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 1968,West,Oregon,Hillsboro,2012-11-27,2012-11-29,10,91256,66.8,72.95
Not Specified,5.78,5.67,37,Stacy Chandler,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 1978,West,Oregon,Keizer,2012-11-27,2012-11-30,11,91256,63.580000000000005,69.25
Medium,1.6800000000000002,1.57,39,Ian L O'Donnell,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 323,Central,Illinois,Alton,2011-03-07,2011-04-07,10,88682,16.8,18.37
Medium,7.08,2.35,39,Ian L O'Donnell,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,SANFORD Major Accent™ Highlighters,Central,Illinois,Alton,2011-03-07,2011-05-07,14,88682,99.12,101.47
Critical,28.15,8.99,39,Ian L O'Donnell,Express Air,Corporate,Office Supplies,Pens & Art Supplies,Small Pack,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Central,Illinois,Alton,2013-12-06,2013-06-15,4,88684,112.6,121.58999999999999
Not Specified,7.98,6.5,40,Seth Grimes,Regular Air,Corporate,Office Supplies,Storage & Organization,Medium Box,Iris Project Case,West,Washington,Anacortes,2013-03-21,2013-03-23,4,88683,31.92,38.42
Not Specified,45.99,4.99,42,Alexandra Fuller,Regular Air,Consumer,Technology,Telephones and Communication,Small Box,KF 788,West,Washington,Puyallup,2012-05-11,2012-06-11,8,91455,367.92,372.91
Not Specified,8.09,7.96,42,Alexandra Fuller,Regular Air,Consumer,Furniture,Office Furnishings,Small Box,"6"" Cubicle Wall Clock, Black",West,Washington,Puyallup,2013-11-26,2013-11-29,36,91458,291.24,299.2
Not Specified,20.99,1.25,42,Alexandra Fuller,Regular Air,Consumer,Technology,Telephones and Communication,Small Pack,Accessory29,West,Washington,Puyallup,2013-11-26,2013-11-27,9,91458,188.91,190.16
High,99.99,19.99,43,Theodore Moran,Regular Air,Consumer,Technology,Office Machines,Small Box,AT&T 2230 Dual Handset Phone With Caller ID/Call Waiting,West,Washington,Redmond,2010-10-11,2010-11-11,6,91454,599.9399999999999,619.93
Low,9.31,3.98,43,Theodore Moran,Regular Air,Consumer,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,Acme® Forged Steel Scissors with Black Enamel Handles,West,Washington,Redmond,2013-02-26,2013-04-03,9,91456,83.79,87.77000000000001
Critical,95.98,58.2,43,Theodore Moran,Delivery Truck,Consumer,Furniture,Chairs & Chairmats,Jumbo Drum,Global Deluxe Office Fabric Chairs,West,Washington,Redmond,2013-08-30,2013-01-09,15,91457,1439.7,1497.9
Medium,39.48,3.99,45,Melinda Sloan,Regular Air,Home Office,Office Supplies,Appliances,Small Box,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,Central,Texas,Coppell,2012-02-24,2012-02-26,13,91578,513.24,517.23
Not Specified,5.8100000000000005,3.37,45,Melinda Sloan,Regular Air,Home Office,Office Supplies,Rubber Bands,Wrap Bag,"Advantus Push Pins, Aluminum Head",Central,Texas,Coppell,2012-09-23,2012-09-23,18,91579,104.58000000000001,107.95000000000002
Not Specified,30.97,4.0,46,Anne Nguyen,Regular Air,Home Office,Technology,Computer Peripherals,Small Box,Microsoft Multimedia Keyboard,South,Virginia,Colonial Heights,2012-09-23,2012-09-25,3,91579,92.91,96.91
Not Specified,17.67,8.99,46,Anne Nguyen,Regular Air,Home Office,Furniture,Office Furnishings,Small Pack,"Executive Impressions 12"" Wall Clock",South,Virginia,Colonial Heights,2012-09-23,2012-09-25,20,91579,353.40000000000003,362.39000000000004
Medium,17.98,8.51,48,Geoffrey Hewitt,Regular Air,Corporate,Technology,Office Machines,Medium Box,Canon P1-DHIII Palm Printing Calculator,Central,Illinois,Springfield,2011-08-15,2011-08-15,1,87712,17.98,26.490000000000002
Medium,4.13,0.5,48,Geoffrey Hewitt,Regular Air,Corporate,Office Supplies,Labels,Small Box,Avery 506,Central,Illinois,Springfield,2012-08-13,2012-08-16,22,87713,90.86,91.36
High,7.31,0.49,48,Geoffrey Hewitt,Regular Air,Corporate,Office Supplies,Labels,Small Box,Self-Adhesive Address Labels for Typewriters by Universal,Central,Illinois,Springfield,2012-10-10,2012-11-10,19,87714,138.89,139.38
High,20.99,2.5,48,Geoffrey Hewitt,Regular Air,Corporate,Technology,Telephones and Communication,Wrap Bag,Accessory37,Central,Illinois,Springfield,2012-10-10,2012-11-10,12,87714,251.88,254.38
High,39.24,1.99,48,Geoffrey Hewitt,Regular Air,Corporate,Technology,Computer Peripherals,Small Pack,Verbatim DVD-R 4.7GB authoring disc,Central,Illinois,Springfield,2013-11-01,2013-12-01,9,87715,353.16,355.15000000000003
High,67.84,0.99,49,Terri Lyons,Regular Air,Corporate,Office Supplies,Appliances,Small Box,Fellowes Command Center 5-outlet power strip,Central,Illinois,Streamwood,2011-03-29,2011-03-29,1,87710,67.84,68.83
